ids,locales,prices,bedrooms,sqft,dates,titles,data.latitude,data.longitude,data.accuracy,links,north,north_work
7143708157, (Salt lake City),1790,1,882,2020-06-17 18:30,Picasso 1-Bed Townhome with Views!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-picasso-1-bed-townhome/7143708157.html,0.0613670000000042,3.25245100000022
7143761232,,989,1,650,2020-06-17 18:28,$499 move in no rent until august!,40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-499-move-in-no-rent/7143761232.html,0.0387669999999929,2.05465099999962
7143752067, (Bountiful),1169,2,930,2020-06-17 18:08,ENJOY THE VIEW FROM YOUR BACKYARD/BALCONY-ONLY AT THE PARK APARTMENTS,40.874743,-111.889082,10,https://saltlakecity.craigslist.org/apa/d/bountiful-enjoy-the-view-from-your/7143752067.html,0.0689849999999979,3.65620499999989
7143748681,,1234,1,710,2020-06-17 18:01,"High Speed Internet, Access Controlled Garage Parking Available",40.6568,-111.8904,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-high-speed-internet/7143748681.html,0.0676670000000001,3.58635100000001
7143748641, (Salt Lake City),849,1,418,2020-06-17 18:01,"Cozy and Convenient 1 bed 1 bath, come and check us out!!!",40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-cozy-and-convenient-1/7143748641.html,0.0387669999999929,2.05465099999962
7143746523, (Sugar House),1645,2,1014,2020-06-17 17:57,"One Block from Westminster, Prime Location in Sugar House, Dishwasher",40.725646,-111.857754,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-one-block-from/7143746523.html,0.100313,5.31658899999999
7143740120, (Midvale),1169,2,976,2020-06-17 17:53,Hurry in while specials last!,40.625209,-111.89308,10,https://saltlakecity.craigslist.org/apa/d/midvale-hurry-in-while-specials-last/7143740120.html,0.0649870000000021,3.44431100000011
7143730022,,1323,2,1223,2020-06-17 17:53,"Minutes to Jordan Landing, The District, and South Towne Center",40.5959,-111.9644,22,https://saltlakecity.craigslist.org/apa/d/west-jordan-minutes-to-jordan-landing/7143730022.html,-0.00633299999999792,-0.33564899999989
7143739795, (Salt Lake City),1588,1,787,2020-06-17 17:49,Luxury Is Built In No Added On,40.7776,-111.8749,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-luxury-is-built-in-no/7143739795.html,0.0831670000000031,4.40785100000016
7143736667, (SLC),1599,1,1195,2020-06-17 17:44,You Can Afford To Dwell Well.,40.7056,-111.8548,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-you-can-afford-to-dwell/7143736667.html,0.103267000000002,5.47315100000013
7127586487, (Herriman),1275,1,774,2020-06-17 17:44,This Is Where It's At!!,40.5144,-112.0325,5,https://saltlakecity.craigslist.org/apa/d/herriman-this-is-where-its-at/7127586487.html,-0.0744329999999991,-3.94494899999995
7143724331, (City Creek Center),1420,2,1153,2020-06-17 17:29,Near major public transit and buslines! Great for commuters!,40.769914,-111.909109,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-near-major-public/7143724331.html,0.048957999999999,2.59477399999994
7143726972, (Border of Sandy & West Jordan),1333,2,823,2020-06-17 17:17,Pet Friendly Community! We welcome your furry friends!,40.580755,-111.915094,10,https://saltlakecity.craigslist.org/apa/d/sandy-pet-friendly-community-we-welcome/7143726972.html,0.0429730000000035,2.27756900000018
7143726418, (Midvale),989,1,715,2020-06-17 17:16,HURRY! IT'S WAITING FOR YOU! Renovated! 1st Floor Home. Will Not Last,40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-hurry-its-waiting-for-you/7143726418.html,0.0729670000000056,3.86725100000029
7143723878,,1094,2,817,2020-06-17 17:11,"Balcony, Granite Counters, Online Payments Available, Walk-in Closet",40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-balcony-granite-counters/7143723878.html,-0.0744329999999991,-3.94494899999995
